Protein1,Protein2
P15993,P76037
P15993,P77610
P15993,P0AAE5
P15993,P0AA47
P15993,P25737
P15993,P25527
P15993,P45539
P15993,P27837
P15993,P60061
P15993,P0AAE8
P15993,P0AAE0
P0ACL9,P0ACL5
P0ACL9,P0ACL2
P0ACL9,P0A8W0
P0ACL9,P0ACL7
P0ACL9,P31460
P0ACL9,P39161
P06959,P0AFG6
P0A9P0,P77212
P0A9P0,P37596
P0A9P0,P06715
P0A9P0,P27306
P36649,P26648
P61517,P0ABE9
P36879,P31548
P36879,P07821
P36879,P30750
P36879,P37009
P36879,Q47538
P36879,P0A9T8
P36879,P23878
P36879,P0AAG3
P36879,P10346
P36879,P0AAF6
P36879,P0AAI1
P36879,P75957
P36879,P76027
P36879,P0AAH8
P36879,P77795
P36879,P77622
P36879,P77268
P36879,P0A9X1
P36879,P37774
P36879,P33360
P36879,P07109
P36879,P63386
P36879,P0A9V1
P36879,P45769
P36879,P22731
P36879,P0A9S7
P36879,P0A9R7
P36879,P33593
P36879,P33594
P36879,P37313
P36879,P0AAG0
P36879,P0AAH0
P36879,P16678
P36879,P16677
P36879,P15031
P31665,P37014
P31665,P77768
P31665,P31667
P33129,P77468
P33129,P75750
P33129,P75857
P33129,P33341
P33129,P42915
P33129,P45420
P33129,P30130
P33128,P77249
P33128,P75749
P33128,P75856
P33128,P40876
P33128,P33342
P33128,P77599
P33128,P42914
P33128,P31697
P02919,P02918
P06971,P75780
P06971,P16869
P06971,P76115
P06971,P13036
P07821,P31548
P07821,P36879
P07821,P30750
P07821,P37009
P07821,Q47538
P07821,P77279
P07821,P0A9T8
P07821,P23878
P07821,P0AAG3
P07821,P10346
P07821,P31134
P07821,P0AAF6
P07821,P0AAI1
P07821,P75957
P07821,P77737
P07821,P0AAH8
P07821,P0AAH4
P07821,P77795
P07821,P77622
P07821,P77268
P07821,P06611
P07821,P76909
P07821,P0A9X1
P07821,P37774
P07821,P33360
P07821,P33931
P07821,P07109
P07821,P16676
P07821,P63386
P07821,P0A9V1
P07821,P45769
P07821,P22731
P07821,P0A9S7
P07821,P0A9R7
P07821,P33593
P07821,P33594
P07821,P37313
P07821,P0AAG0
P07821,P0AAH0
P07821,P16679
P07821,P16678
P07821,P16677
P07821,P15031
P23893,P12995
P23893,P50457
P23893,P77581
P23893,P22256
P23893,P42588
P23893,P18335
P37019,P76175
P0ACC3,P77667
P0ACC3,P0AAC8
P0AFP0,P0AGM2
P0C0V0,P39099
P0C0V0,P0AEE3
P0ABG1,P76091
P52095,P24169
P52095,P21169
P52095,P28629
P52095,P0A9H3
P28635,P04846
P30750,P31548
P30750,P36879
P30750,P07821
P30750,P37009
P30750,P0A9T8
P30750,P23878
P30750,P0AAG3
P30750,P10346
P30750,P31134
P30750,P0AAF6
P30750,P75957
P30750,P69874
P30750,P76027
P30750,P77737
P30750,P0AAH8
P30750,P0AAH4
P30750,P77795
P30750,P77622
P30750,P77268
P30750,P0A9X1
P30750,P37774
P30750,P33360
P30750,P07109
P30750,P16676
P30750,P63386
P30750,P0A9V1
P30750,P45769
P30750,P10907
P30750,P0A9S7
P30750,P0A9R7
P30750,P33593
P30750,P33594
P30750,P37313
P30750,P0AAG0
P30750,P0AAH0
P30750,P68187
P30750,P16678
P30750,P16677
P30750,P15031
P30863,P77735
P30863,P25906
P30863,P77256
P30863,P76234
P30863,Q46857
P30864,Q57083
P30864,P75836
P30864,P77333
P30864,P76250
P30864,P0ACR4
P30864,P46068
P30864,P33634
P30864,P0A9F6
P30864,P45463
P30864,P67662
P30864,P37641
P30864,P0ACQ4
P0AC84,P75849
P63224,P66817
Q47155,P04152
P02932,P02931
P02932,P77747
P02932,P06996
P77692,P64524
P77692,Q46953
Q47684,P76364
Q47684,P52141
Q9XB42,P64521
Q9XB42,P58033
Q47685,P76362
Q47685,P52140
Q47685,P25531
P75676,P52139
P77162,P52135
P77365,O52982
P77206,P52132
P75678,P52131
Q57083,P30864
Q57083,P0ACR0
Q57083,P77333
Q57083,P76250
Q57083,P46068
Q57083,P0A9F6
Q57083,P45463
Q57083,P37641
Q57083,P0A9F9
P0CF88,P0CF89
P0CF88,P0CF90
P0CE49,P0CE50
P0CE49,P0CE51
P0CE49,P0CE52
P0CE49,P76071
P0CE49,P0CE53
P0CE49,P0CE54
P0CE49,P0CE55
P0CE49,P0CE56
P0CE49,P0CE57
P0CE49,P0CE58
Q47689,P15993
Q47689,P0AAE2
Q47689,P77400
Q47689,P24207
Q47689,P0AAF1
Q47689,P76037
Q47689,P77610
Q47689,P63235
Q47689,P0AAE5
Q47689,P0AA47
Q47689,P25737
Q47689,P25527
Q47689,P45539
Q47689,P27837
Q47689,P60061
Q47689,P0AAE8
Q47689,P0AAE0
P37009,P36879
P37009,P07821
P37009,P30750
P37009,Q47538
P37009,P23878
P37009,P0AAG3
P37009,P10346
P37009,P31134
P37009,P0AAF6
P37009,P75957
P37009,P69874
P37009,P76027
P37009,P77737
P37009,P0AAH8
P37009,P77795
P37009,P77622
P37009,P77268
P37009,P0A9X1
P37009,P37774
P37009,P33360
P37009,P07109
P37009,P16676
P37009,P63386
P37009,P0A9V1
P37009,P45769
P37009,P10907
P37009,P22731
P37009,P0A9S7
P37009,P33593
P37009,P37313
P37009,P0AAG0
P37009,P0AAH0
P37009,P68187
P37009,P16678
P37009,P16677
P37009,P15031
P0CF26,P0CF25
P0CF26,P0CF27
P0CF26,P57998
P0CF26,P0CF28
P0CF26,P0CF29
P0CF08,P0CF07
P0CF08,P0CF09
P0CF08,P0CF10
P0CF08,P0CF11
P0CF08,P0CF12
P0CF08,P19767
P37007,P0CF53
P37007,P0CF54
P37007,P0CF55
P37007,P0CF56
P37007,P0CF57
P37007,P0CF58
P75682,P0A6L2
P75682,P0A6L4
P75682,P39359
P77596,P0ADF6
P77596,P05791
P77596,P39358
P75683,P0CE44
P75683,P31435
P75683,P32136
P75683,P32137
P75683,P02921
P77300,P0ACN4
P77300,P76268
P77300,P77732
P77300,P37671
P77300,P16528
P77300,P39360
P06960,Q46803
P06960,P04391
P0CF27,P0CF25
P0CF27,P0CF26
P0CF27,P57998
P0CF27,P0CF28
P0CF27,P0CF29
P0CF09,P0CF07
P0CF09,P0CF08
P0CF09,P0CF10
P0CF09,P0CF11
P0CF09,P0CF12
P0CF09,P19767
P77657,P52125
P77489,Q46799
P77489,Q46814
P77324,Q46800
P77324,P64557
P77165,Q46801
P0A7N1,P0A7M9
P0CF66,P0CF67
P0CF66,P0CF68
P0CF66,P0CF69
P0CF66,P0CF70
P0CF79,P0CF80
P0CF79,P0CF81
P0CF79,P0CF82
P0CF79,P0CF83
P0CF79,P19769
P77212,P0A9P0
P77212,P06715
P77212,P27306
P17445,P23883
P17445,P80668
P17445,P25553
P17445,P77674
P17445,P76149
P17445,P76217
P17445,P25526
P17445,P37685
P0ABC9,P31553
P0ABC9,P0ABD1
P77700,P0ACR0
P77700,P0ACR2
P77700,P76369
P77700,P67660
P77187,Q47208
P77221,P77129
P77624,P37306
P77624,Q46807
P77554,P25524
P75691,P25437
P75691,P77316
P75691,P39451
P75691,P38105
P75691,P77280
P75691,P77539
P75691,P0A9S3
P75691,P77360
P75691,P07913
P75691,P39346
P75691,P27250
P75691,P39400
P75693,P76249
P75693,P0AG38
P75693,P0AG34
P77743,P0AFU4
P31660,P0ABH7
P77495,P31552
P77495,P10378
P77495,P38135
P77495,P69451
P77495,P27550
P0AA82,P75712
P25524,P77554
P27111,P52696
P27111,P0A9F3
P27111,P77744
P27111,P77171
P27111,P77309
P27111,P77559
P27111,Q47083
P27111,Q47005
P27111,P0ACR4
P27111,P23841
P27111,P0ACR7
P27111,Q47141
P27111,P33634
P27111,P0A9F6
P27111,P03030
P27111,P0ACQ7
P27111,P05827
P27111,P0A9F9
P27111,P0ACQ4
P0ABE9,P61517
P17583,P75810
P17583,P76242
P07464,P77791
P07464,P37750
P07464,P0ACD2
P02920,P31126
P02920,P45562
P02920,Q47142
P00722,P06864
P03023,P0ACP1
P03023,P77615
P03023,P18811
P03023,P0ACP7
P03023,P25748
P03023,P24242
P03023,P03024
P03023,P06846
P03023,P0ACP5
P03023,P0ACQ0
P03023,P0ACN7
P03023,P36673
P03023,P39343
P77569,P76268
P77569,P16528
P77044,P75895
P77589,P31679
P77589,P23910
P77589,P24077
P77589,P31122
P77589,P77389
P77589,P38055
P77589,P76230
P77589,P76242
P77589,P76350
P77589,P76470
P77589,Q46909
P77589,Q46916
P77589,P0AE24
P77589,P0AEP1
P77589,P0AA80
P77589,P41036
P77589,P37643
P77589,P0ADL1
P77589,P0AA76
P77589,P31462
P77589,P0AGF4
P77589,P0C0L7
P77589,P39352
P51025,P33018
P25437,P75691
P25437,P39451
P25437,P38105
P25437,P77280
P25437,P77539
P25437,P0A9S3
P25437,P77360
P25437,P07913
P25437,P39346
P25437,P39400
P0AAP3,P64530
P0CF40,P0CF41
P0CF40,P0CF42
P0CF40,P0CF43
P0CF40,P0CF44
P0CF40,P0CF45
P0CF53,P37007
P0CF53,P0CF54
P0CF53,P0CF55
P0CF53,P0CF56
P0CF53,P0CF57
P0CF53,P19769
P0CF53,P0CF58
Q47537,P75853
Q47538,P31548
Q47538,P36879
Q47538,P07821
Q47538,P37009
Q47538,P77279
Q47538,P0A9T8
Q47538,P23878
Q47538,P0AAG3
Q47538,P10346
Q47538,P0AAF6
Q47538,P0AAI1
Q47538,P75957
Q47538,P0AAH8
Q47538,P77622
Q47538,P77268
Q47538,P06611
Q47538,P76909
Q47538,P0A9X1
Q47538,P37774
Q47538,P33360
Q47538,P33931
Q47538,P07109
Q47538,P63386
Q47538,P0A9V1
Q47538,P45769
Q47538,P22731
Q47538,P0A9S7
Q47538,P0A9R7
Q47538,P33593
Q47538,P33594
Q47538,P0AAG0
Q47538,P0AAH0
Q47538,P16679
Q47538,P16678
Q47538,P16677
Q47538,P15031
Q47539,P75851
Q47539,P33359
P0CF80,P0CF79
P0CF80,P0CF81
P0CF80,P0CF82
P0CF80,P0CF83
P0CF80,P19769
P0CF67,P0CF66
P0CF67,P0CF68
P0CF67,P0CF69
P0CF67,P0CF70
P0AD70,P00811
P0A6J8,P07862
P0AAP1,P76147
P0A6E1,P0A6D7
P23917,P0AF20
P23917,P75959
P23917,P50456
P23917,P45425
P23917,P32718
P23910,P77589
P23910,P31122
P23910,P43531
P23910,P77389
P23910,P0ADL1
P23910,P31442
P13458,P22523
P0AFJ5,P0ACZ8
P0AFJ5,P21866
P0AFJ5,P38684
P0AFJ5,P23836
P0AFJ5,P52108
P0AFJ5,P76340
P0AFJ5,P69228
P0AFJ5,P52076
P0AFJ5,P0AA16
P0AFJ5,P0AE88
P0AFJ5,P30843
P0AFJ5,P08368
P0AFJ5,P0A9Q1
P08400,P30847
P08400,P0AFB5
P0AAE2,P15993
P0AAE2,Q47689
P0AAE2,P77400
P0AAE2,P24207
P0AAE2,P0AAF1
P0AAE2,P76037
P0AAE2,P77610
P0AAE2,P0AA47
P0AAE2,P25737
P0AAE2,P25527
P0AAE2,P45539
P0AAE2,P27837
P0AAE2,P60061
P0AAE2,P0AAE8
P0AAE2,P39277
P0AAE2,P0AAE0
P77735,P30863
P77735,P25906
P77735,P76187
P77735,P77256
P77735,P76234
P77735,P0A9T4
P77735,Q46851
P77488,P33570
P77488,P27302
P22939,P0AD57
Q46948,P45470
P77726,P25744
P77726,P69367
P77726,P76269
P77726,P28246
P77726,P77549
P77726,P41036
P77726,P31442
P0A6H1,P0A6H5
P0ACF4,P0A6Y1
P0ACF4,P0A6X7
P0ACF4,P0ACF0
P46890,P33595
P46891,P21829
P46891,P75792
P46891,P75809
P46891,P0A8Y5
P46891,P27848
P0ACJ5,P0ACJ0
P0ACJ5,P0ACI6
P77265,P0AAG5
P77265,P23886
P77265,P29018
P77265,P60752
P0AAG5,P77265
P0AAG5,P23886
P0AAG5,P29018
P0AAG5,P60752
P0AC55,P0A9Z1
P77473,P32701
P77791,P07464
P77791,P0ACD2
P31224,P38054
P31224,P76398
P31224,P76399
P31224,P24177
P31224,P24181
P31224,P37637
P0AE06,P75830
P0AE06,P76397
P0AE06,P24180
P0AE06,P37636
P0ACS9,P0ACT2
P77338,P39285
P39830,P03819
P39830,P45522
P52067,P77549
P52067,P0AA78
P52067,P60778
P07024,P08331
P0A9T6,P67699
Q59385,P37617
P77454,P0A6W0
P77400,P15993
P77400,Q47689
P77400,P0AAE2
P77400,P24207
P77400,P0AAF1
P77400,P76037
P77400,P77610
P77400,P0AAE5
P77400,P0AA47
P77400,P25737
P77400,P25527
P77400,P45539
P77400,P27837
P77400,P60061
P77400,P0AAE8
P77400,P39277
P77400,P0AAE0
P0A9G4,P0ACS5
P0AA53,P0ABC3
P77279,P31548
P77279,P07821
P77279,Q47538
P77279,P0A9T8
P77279,P23878
P77279,P0AAG3
P77279,P10346
P77279,P0AAF6
P77279,P0AAI1
P77279,P75957
P77279,P0AAH8
P77279,P77795
P77279,P77622
P77279,P76909
P77279,P0A9X1
P77279,P37774
P77279,P33360
P77279,P33931
P77279,P07109
P77279,P63386
P77279,P0A9V1
P77279,P45769
P77279,P22731
P77279,P0A9S7
P77279,P0A9R7
P77279,P33594
P77279,P0AAH0
P77279,P16679
P77279,P16678
P77279,P16677
P77279,P15031
P0AFP4,P15047
P0AFP4,P0AEK2
P0AFP4,P31808
P0AFP4,P39831
P0AFP4,P0AET8
P0AFP4,P33368
P0AFP4,P37440
P0AFP4,P76633
P0AFP4,P0AG84
P0AFP4,P39333
P0A9T8,P31548
P0A9T8,P36879
P0A9T8,P07821
P0A9T8,P30750
P0A9T8,Q47538
P0A9T8,P77279
P0A9T8,P23878
P0A9T8,P0AAG3
P0A9T8,P10346
P0A9T8,P0AAF6
P0A9T8,P0AAI1
P0A9T8,P75957
P0A9T8,P76027
P0A9T8,P0AAH8
P0A9T8,P0AAH4
P0A9T8,P77622
P0A9T8,P77268
P0A9T8,P06611
P0A9T8,P76909
P0A9T8,P0A9X1
P0A9T8,P37774
P0A9T8,P33360
P0A9T8,P33931
P0A9T8,P07109
P0A9T8,P63386
P0A9T8,P0A9V1
P0A9T8,P45769
P0A9T8,P22731
P0A9T8,P0A9S7
P0A9T8,P0A9R7
P0A9T8,P33593
P0A9T8,P33594
P0A9T8,P37313
P0A9T8,P0AAG0
P0A9T8,P0AAH0
P0A9T8,P16679
P0A9T8,P16678
P0A9T8,P16677
P0A9T8,P15031
P16919,P16918
P16919,P16917
P16919,P16916
P0ACR0,Q57083
P0ACR0,P77700
P0ACR0,P77559
P0ACR0,P0ACR2
P0ACR0,P76369
P0ACR0,P67660
P0ACN4,P77300
P0ACN4,P76268
P0ACN4,P77732
P0ACN4,P37671
P0ACN4,P16528
P0ACN4,P39360
P0AEP7,P00893
P0AEP7,P07003
P0AEP7,P0AFI0
P0AEP7,P08142
P30147,Q46891
P77161,Q46888
P77161,P0ABQ2
P77161,P0A9V8
P75712,P0AA82
P77671,Q46806
P77328,P67444
P77328,Q46821
P77328,P0AGM9
P77364,P23524
P77555,P30178
P77555,P37672
Q47208,P77187
P77129,P77221
P37306,P77624
P37306,Q46807
P09029,P33221
P23869,P0AFL3
P0ABW5,P75855
P0ABW5,P04128
P77249,P33128
P77249,P75749
P77249,P75856
P77249,P40876
P77249,P77599
P77249,P42914
P77249,P31697
P77468,P33129
P77468,P75750
P77468,P75857
P77468,P33341
P77468,P42915
P77468,P45420
P77468,P30130
P38052,P77789
P38052,P04128
P0AEL8,P0AF28
P0AEL8,P0AED5
P0AEL8,P31802
P0AEL8,P0DMC7
P0AEL8,P0ACZ4
P0AEL8,P0AGA6
P0CF68,P0CF66
P0CF68,P0CF67
P0CF68,P0CF69
P0CF68,P0CF70
P0CF81,P0CF79
P0CF81,P0CF80
P0CF81,P0CF82
P0CF81,P0CF83
P0CF81,P19769
P23895,P69210
P23895,P69212
P23895,P69937
P77368,P12994
P0CE50,P0CE49
P0CE50,P0CE51
P0CE50,P0CE52
P0CE50,P76071
P0CE50,P0CE53
P0CE50,P0CE54
P0CE50,P0CE55
P0CE50,P0CE56
P0CE50,P0CE57
P0CE50,P0CE58
P0A9R2,P77237
P78285,P76159
P58041,P58042
P77598,P75988
P77598,P76156
A5A607,Q2EES0
P10805,P33234
P77485,P23837
P77485,P18392
P77485,P76339
P77485,P30847
P77485,P40719
P77485,P0AE82
P77485,P08401
P0ACZ8,P0AFJ5
P0ACZ8,P21866
P0ACZ8,P38684
P0ACZ8,P23836
P0ACZ8,P52108
P0ACZ8,P76340
P0ACZ8,P69228
P0ACZ8,P52076
P0ACZ8,P0AA16
P0ACZ8,P0AE88
P0ACZ8,P30843
P0ACZ8,P08368
P0ACZ8,P0A9Q1
P77211,P02930
P77211,P32714
P38054,P31224
P38054,P76398
P38054,P76399
P38054,P24177
P38054,P24181
P38054,P37637
P24207,P15993
P24207,Q47689
P24207,P0AAE2
P24207,P77400
P24207,P0AAF1
P24207,P76037
P24207,P77610
P24207,P0AAE5
P24207,P0AA47
P24207,P25737
P24207,P25527
P24207,P45539
P24207,P27837
P24207,P60061
P24207,P0AAE8
P24207,P39277
P24207,P0AAE0
P0AAT2,P0AF50
P0CF92,P0CF91
P0CF92,P0CF93
P05825,P17315
P05825,P06129
P26266,P76372
P26266,P0AG00
P23878,P31548
P23878,P36879
P23878,P07821
P23878,P30750
P23878,P37009
P23878,Q47538
P23878,P77279
P23878,P0A9T8
P23878,P0AAG3
P23878,P10346
P23878,P0AAF6
P23878,P0AAI1
P23878,P75957
P23878,P76027
P23878,P77737
P23878,P0AAH8
P23878,P77795
P23878,P77622
P23878,P77268
P23878,P06611
P23878,P76909
P23878,P0A9X1
P23878,P37774
P23878,P33360
P23878,P33931
P23878,P07109
P23878,P63386
P23878,P0A9V1
P23878,P45769
P23878,P22731
P23878,P0A9S7
P23878,P0A9R7
P23878,P33593
P23878,P33594
P23878,P37313
P23878,P0AAH0
P23878,P16678
P23878,P16677
P23878,P15031
P23877,P23876
P23877,P06609
P23877,P15029
P23877,P15030
P23876,P23877
P23876,P06609
P23876,P15029
P23876,P15030
P24077,P77589
P24077,Q46909
P0AEL6,P15028
P0AEJ2,P00895
P10378,P31552
P10378,P77495
P10378,P38135
P10378,P69451
P10378,P37353
P10378,P27550
P15047,P0AFP4
P15047,P0AEK2
P15047,P31808
P15047,P39831
P15047,P0AET8
P15047,P33368
P15047,P37440
P15047,P05707
P15047,P76633
P15047,P37769
P15047,P52037
P15047,P0AG84
P15047,P39333
P15047,P0A9P9
P0A8Y8,P77781
P15078,P39396
P0AAS9,P0ADC8
P45579,P0A9S5
P77806,P23256
P77806,P0A959
P77806,P77434
P77746,P10151
P77746,P30979
P77746,P31463
P39177,P37903
P77316,P75691
P77316,P39451
P77316,P38105
P77316,P77280
P77316,P77539
P77316,P0A9S3
P77316,P77360
P77316,P07913
P77316,P39346
P77316,P39400
P0AE74,P75763
P0AE74,P39414
P77510,P0AEC8
P0AEF4,P0AD01
P0ABP3,P45428
P0A972,P0A968
P0A972,P0A978
P0A972,P0A986
P0A972,P36995
P0A972,P0A9Y6
P0A972,P0A9X9
P0A843,P69428
P30979,P10151
P30979,P77746
P30979,P31463
P0AEB2,P08506
P0AEB2,P33013
P0AEB2,P0AFI5
P0ABG7,P0ABG4
P0AD65,P0AD68
P52086,P0A7A2
P07813,P07118
P77627,P77427
P77427,P77627
P77319,P0A6Y8
P77319,P0A6Z1
P41409,P22564
P41409,P33022
P0AAG3,P31548
P0AAG3,P36879
P0AAG3,P07821
P0AAG3,P30750
P0AAG3,P37009
P0AAG3,Q47538
P0AAG3,P77279
P0AAG3,P0A9T8
P0AAG3,P23878
P0AAG3,P10346
P0AAG3,P31134
P0AAG3,P0AAF6
P0AAG3,P0AAI1
P0AAG3,P75957
P0AAG3,P76027
P0AAG3,P77737
P0AAG3,P0AAH8
P0AAG3,P0AAH4
P0AAG3,P77795
P0AAG3,P77622
P0AAG3,P77268
P0AAG3,P06611
P0AAG3,P76909
P0AAG3,P0A9X1
P0AAG3,P37774
P0AAG3,P33360
P0AAG3,P33931
P0AAG3,P07109
P0AAG3,P16676
P0AAG3,P63386
P0AAG3,P0A9V1
P0AAG3,P45769
P0AAG3,P22731
P0AAG3,P0A9S7
P0AAG3,P0A9R7
P0AAG3,P33593
P0AAG3,P33594
P0AAG3,P37313
P0AAG3,P0AAG0
P0AAG3,P0AAH0
P0AAG3,P16679
P0AAG3,P16678
P0AAG3,P16677
P0AAG3,P15031
P0AER5,P0AER3
P0AER5,P0AEQ6
P0AER5,P0AE30
P0AER5,P0AE34
P0AER5,P0AFT2
P0AER5,P0AEU3
P0AER5,P52094
P0AER3,P0AER5
P0AER3,P0AEQ6
P0AER3,P0AE30
P0AER3,P0AE34
P0AER3,P0AFT2
P0AER3,P0AEU3
P0AER3,P52094
P37902,P0AEQ3
P37902,P30860
P37902,P30859
P37902,P0AEM9
P37902,P0AEU0
P37902,P09551
P0CE51,P0CE49
P0CE51,P0CE50
P0CE51,P0CE52
P0CE51,P76071
P0CE51,P0CE53
P0CE51,P0CE54
P0CE51,P0CE55
P0CE51,P0CE56
P0CE51,P0CE57
P0CE51,P0CE58
P0AEI1,P0AEI4
P75728,P25535
P75728,P25534
P0AF20,P23917
P0AF20,P75959
P0AF20,P50456
P0AF20,P76586
P0AF20,P45425
P0A759,P42912
P0A759,P31470
P09323,P69786
P09323,P19642
P61949,P0ABY4
P0AAF1,P15993
P0AAF1,Q47689
P0AAF1,P0AAE2
P0AAF1,P77400
P0AAF1,P24207
P0AAF1,P76037
P0AAF1,P77610
P0AAF1,P63235
P0AAF1,P0AAE5
P0AAF1,P0AA47
P0AAF1,P25737
P0AAF1,P25527
P0AAF1,P45539
P0AAF1,P27837
P0AAF1,P60061
P0AAF1,P0AAE8
P0AAF1,P39277
P0AAF1,P0AAE0
P24169,P52095
P24169,P21169
P24169,P28629
P24169,P0A9H3
P21866,P0AFJ5
P21866,P0ACZ8
P21866,P38684
P21866,P23836
P21866,P52108
P21866,P76340
P21866,P69228
P21866,P52076
P21866,P0AA16
P21866,P0AE88
P21866,P30843
P21866,P08368
P21866,P0A9Q1
P03960,P37617
P03960,P0ABB8
P16918,P16919
P16918,P16917
P16918,P16916
P28916,P28917
P28916,P28912
P75742,P77304
P75742,P36837
P75742,P39276
P50465,P05523
P75748,P76656
P75749,P33128
P75749,P77249
P75749,P75856
P75749,P40876
P75749,P77599
P75749,P42914
P75749,P31697
P75750,P33129
P75750,P77468
P75750,P75857
P75750,P33341
P75750,P42915
P75750,P30130
P37909,P39834
P0ABH7,P31660
P0AC41,P10902
P0AC41,P00363
P07014,P0AC47
P0AFG6,P06959
P13669,P0ACM5
P13669,P45544
P13669,P31453
P13669,P16684
P54745,P20966
P54745,P32154
P0ABJ9,P26459
P0ABK2,P26458
P0ABU9,P0ABU7
P0ABV6,P0ABV2
P75757,P69380
P0AB91,P00887
P0AB91,P00888
P09147,P37759
P09147,P27830
P31060,P75796
P31060,P43672
P31060,P77257
P31060,P0AAG8
P31060,P33916
P31060,P77509
P31060,P37388
P31060,P04983
P31060,P32721
P31060,Q6BEX0
P0AF01,P0AFL1
P0AF01,P0AFK6
P0AF01,P0AFK4
P0AF01,P0AFR9
P0AF01,P0AEB0
P0AF01,P16701
P21829,P46891
P21829,P75792
P21829,P75809
P21829,P0A8Y5
P21829,P27848
P52696,P27111
P52696,P0A9F3
P52696,P77744
P52696,P77171
P52696,P77309
P52696,P77559
P52696,Q47083
P52696,Q47005
P52696,P76369
P52696,P0ACR4
P52696,P36771
P52696,P23841
P52696,P0ACR7
P52696,Q47141
P52696,P33634
P52696,P03030
P52696,P0ACQ7
P52696,P05827
P52696,P0A9F9
P52696,P0ACQ4
P75763,P0AE74
P75763,P39414
P75764,P0A6A6
P12994,P77368
P12995,P23893
P12995,P50457
P12995,P77581
P12995,P22256
P12995,P42588
P12995,P18335
P12998,P0AB77
P13000,P0A6E9
P0AEZ9,P0AF03
P0AAC4,P0AAC6
P0AA84,P75919
P0AA84,P0A6H8
P0AFP9,P0AFQ2
P0AFP9,P0AGH1
P0AFQ2,P0AFP9
P0AFQ2,P0AGH1
P0A9U1,P0A9U3
P0A9U1,P75796
P0A9U1,P43672
P0A9U1,P77257
P0A9U1,P0AAF3
P0A9U1,P0AAG8
P0A9U1,P33916
P0A9U1,P77509
P0A9U1,P63389
P0A9U1,P37388
P0A9U1,P04983
P0A9U1,P32721
P0A9U1,Q6BEX0
P0A9U1,P0A9W3
P75777,P75830
P75777,P76185
P75777,P52599
P75777,P27303
P75777,P37626
P75777,P32716
P25888,P21693
P25888,P21507
P25888,P0A9P6
P25888,P0A8J8
P27296,P76257
P30178,P77555
P30178,P37672
P0AAX3,P0AAX6
P0AAX3,P0AB40
P75780,P06971
P75780,P16869
P75780,P76115
P75780,P13036
P0AAX6,P0AAX3
